id,Geographic Area Name,Total,Total!!Male!!Under 5 years,Total!!Female!!Under 5 years,id,zip
8710000US3728371,"ZCTA5 28371, North Carolina",6519,243,277,8710000US37,28371
8710000US3727513,"ZCTA5 27513, North Carolina",40748,1345,1286,8710000US37,27513
8710000US3727814,"ZCTA5 27814, North Carolina",1676,27,28,8710000US37,27814
8710000US3728211,"ZCTA5 28211, North Carolina",28173,1060,1055,8710000US37,28211
8710000US3728031,"ZCTA5 28031, North Carolina",24384,809,780,8710000US37,28031
8710000US3728456,"ZCTA5 28456, North Carolina",3658,96,105,8710000US37,28456
8710000US3727617,"ZCTA5 27617, North Carolina",15150,556,530,8710000US37,27617
8710000US3727970,"ZCTA5 27970, North Carolina",3409,98,89,8710000US37,27970
8710000US3728622,"ZCTA5 28622, North Carolina",2479,64,54,8710000US37,28622
8710000US3727614,"ZCTA5 27614, North Carolina",31484,1082,1089,8710000US37,27614
8710000US3728658,"ZCTA5 28658, North Carolina",26338,865,837,8710000US37,28658
8710000US3728018,"ZCTA5 28018, North Carolina",5499,143,140,8710000US37,28018
8710000US3728071,"ZCTA5 28071, North Carolina",2763,52,71,8710000US37,28071
8710000US3728168,"ZCTA5 28168, North Carolina",10227,293,289,8710000US37,28168
8710000US3727856,"ZCTA5 27856, North Carolina",15981,518,463,8710000US37,27856
8710000US3728515,"ZCTA5 28515, North Carolina",2296,62,55,8710000US37,28515
8710000US3728328,"ZCTA5 28328, North Carolina",26092,911,935,8710000US37,28328
8710000US3728677,"ZCTA5 28677, North Carolina",32359,1160,1121,8710000US37,28677
8710000US3727801,"ZCTA5 27801, North Carolina",21105,796,704,8710000US37,27801
8710000US3727926,"ZCTA5 27926, North Carolina",1915,53,65,8710000US37,27926
8710000US3728739,"ZCTA5 28739, North Carolina",19584,475,435,8710000US37,28739
8710000US3727889,"ZCTA5 27889, North Carolina",27029,955,887,8710000US37,27889
8710000US3728163,"ZCTA5 28163, North Carolina",5233,181,140,8710000US37,28163
8710000US3728602,"ZCTA5 28602, North Carolina",28602,955,926,8710000US37,28602
8710000US3728707,"ZCTA5 28707, North Carolina",94,0,1,8710000US37,28707
8710000US3727962,"ZCTA5 27962, North Carolina",7655,271,270,8710000US37,27962
8710000US3728077,"ZCTA5 28077, North Carolina",482,29,28,8710000US37,28077
8710000US3727869,"ZCTA5 27869, North Carolina",2195,63,47,8710000US37,27869
8710000US3728468,"ZCTA5 28468, North Carolina",4375,53,56,8710000US37,28468
8710000US3728805,"ZCTA5 28805, North Carolina",17239,422,405,8710000US37,28805
8710000US3727349,"ZCTA5 27349, North Carolina",5489,160,162,8710000US37,27349
8710000US3727597,"ZCTA5 27597, North Carolina",22072,822,740,8710000US37,27597
8710000US3728752,"ZCTA5 28752, North Carolina",29254,954,897,8710000US37,28752
8710000US3728642,"ZCTA5 28642, North Carolina",5741,203,171,8710000US37,28642
8710000US3727574,"ZCTA5 27574, North Carolina",14306,388,355,8710000US37,27574
8710000US3728334,"ZCTA5 28334, North Carolina",24665,892,826,8710000US37,28334
8710000US3728207,"ZCTA5 28207, North Carolina",8527,266,256,8710000US37,28207
8710000US3728357,"ZCTA5 28357, North Carolina",3125,97,110,8710000US37,28357
8710000US3728768,"ZCTA5 28768, North Carolina",6807,156,160,8710000US37,28768
8710000US3727215,"ZCTA5 27215, North Carolina",38504,1225,1154,8710000US37,27215
8710000US3727243,"ZCTA5 27243, North Carolina",4329,113,121,8710000US37,27243
8710000US3728621,"ZCTA5 28621, North Carolina",10259,315,330,8710000US37,28621
8710000US3727607,"ZCTA5 27607, North Carolina",17255,570,521,8710000US37,27607
8710000US3728662,"ZCTA5 28662, North Carolina",140,2,2,8710000US37,28662
8710000US3727843,"ZCTA5 27843, North Carolina",1157,33,33,8710000US37,27843
8710000US3728119,"ZCTA5 28119, North Carolina",2801,86,86,8710000US37,28119
8710000US3727405,"ZCTA5 27405, North Carolina",44049,1822,1681,8710000US37,27405
8710000US3727551,"ZCTA5 27551, North Carolina",1945,45,50,8710000US37,27551
8710000US3727377,"ZCTA5 27377, North Carolina",7104,223,229,8710000US37,27377
8710000US3727401,"ZCTA5 27401, North Carolina",17200,499,459,8710000US37,27401
8710000US3727541,"ZCTA5 27541, North Carolina",3759,97,112,8710000US37,27541
8710000US3728753,"ZCTA5 28753, North Carolina",11510,315,276,8710000US37,28753
8710000US3727017,"ZCTA5 27017, North Carolina",9362,330,309,8710000US37,27017
8710000US3728573,"ZCTA5 28573, North Carolina",2116,62,57,8710000US37,28573
8710000US3728578,"ZCTA5 28578, North Carolina",6346,315,340,8710000US37,28578
8710000US3727104,"ZCTA5 27104, North Carolina",28066,761,807,8710000US37,27104
8710000US3727707,"ZCTA5 27707, North Carolina",42583,1663,1646,8710000US37,27707
8710000US3727278,"ZCTA5 27278, North Carolina",23808,752,762,8710000US37,27278
8710000US3727831,"ZCTA5 27831, North Carolina",3908,117,102,8710000US37,27831
8710000US3727536,"ZCTA5 27536, North Carolina",16852,655,672,8710000US37,27536
8710000US3728690,"ZCTA5 28690, North Carolina",9276,222,253,8710000US37,28690
8710000US3728601,"ZCTA5 28601, North Carolina",48817,1601,1503,8710000US37,28601
