Record ID Number,TIGER Address Range Match Indicator,TIGER Match Type,TIGER Output Address,"Interpolated Longitude, Latitude",TIGER Line ID,TIGER Line ID Side,State Code,County Code,Tract Code,Block Code,address,city,state,zip
24,Match,Non_Exact,"916 OLD HONEYCUTT RD, FUQUAY VARINA, NC, 27526","-78.76714,35.58497",601299336,L,37,183,53108,2009,916 OLD HONEYCUTT RD, FUQUAY-VARINA, NC,27526
25,Match,Non_Exact,"3901 KILDAIRE FARM RD, APEX, NC, 27539","-78.79664,35.69288",72637040,R,37,183,53421,1014,3901 KILDAIRE FARM ROAD, APEX, NC,27539
26,Match,Exact,"1605 AVERSBORO RD, GARNER, NC, 27529","-78.616974,35.69006",72576242,R,37,183,52808,1018,1605 AVERSBORO RD, GARNER, NC,27529
27,Match,Exact,"1701 AVERSBORO RD, GARNER, NC, 27529","-78.617134,35.687775",208360264,R,37,183,52808,1027,1701 AVERSBORO ROAD, GARNER, NC,27529
28,Match,Exact,"9425 BAILEYWICK RD, RALEIGH, NC, 27615","-78.664185,35.90989",208355360,L,37,183,53807,1008,9425 BAILEYWICK ROAD, RALEIGH, NC,27615
250,Match,Exact,"1530 AVENT FERRY RD, HOLLY SPRINGS, NC, 27540","-78.855225,35.63176",633848205,L,37,183,53207,2080,1530 AVENT FERRY ROAD, HOLLY SPRINGS, NC,27540
130,Match,Exact,"1000 LAWNDALE ST, GARNER, NC, 27529","-78.614105,35.697666",72653232,R,37,183,52808,1017,1000 LAWNDALE ST, GARNER, NC,27529
251,Match,Exact,"131 LATTNER CT, MORRISVILLE, NC, 27560","-78.852936,35.83087",72645181,L,37,183,53607,1040,131 LATTNER COURT, MORRISVILLE, NC,27560
131,Match,Non_Exact,"1515 CROSS LINK RD, RALEIGH, NC, 27610","-78.61596,35.753086",647295205,L,37,183,52101,4006,1515 CROSSLINK ROAD, RALEIGH, NC,27610
252,Match,Exact,"4501 W LAKE RD, APEX, NC, 27539","-78.75941,35.661877",632411793,R,37,183,53201,1008,4501 WEST LAKE RD, APEX, NC,27539
132,Match,Exact,"1801 SPRING FOREST RD, RALEIGH, NC, 27615","-78.60845,35.866737",72506030,R,37,183,54012,3002,1801 SPRING FOREST RD, RALEIGH, NC,27615
253,Match,Exact,"1710 LAURA DUNCAN RD, APEX, NC, 27502","-78.83606,35.74628",639843071,R,37,183,53418,3003,1710 LAURA DUNCAN RD, APEX, NC,27502
254,Match,Exact,"1500 EVANS RD, CARY, NC, 27513","-78.79788,35.81481",639238364,L,37,183,53512,1010,1500 EVANS ROAD, CARY, NC,27513
134,Match,Exact,"804 COLEMAN ST, RALEIGH, NC, 27610","-78.62251,35.769478",639848538,R,37,183,50800,1018,804 COLEMAN STREET, RALEIGH, NC,27610
255,Match,Exact,"844 HERITAGE LAKE RD, WAKE FOREST, NC, 27587","-78.50109,35.949173",208365898,L,37,183,54211,2047,844 HERITAGE LAKE ROAD, WAKE FOREST, NC,27587
135,Match,Exact,"2204 N MAIN ST, FUQUAY VARINA, NC, 27526","-78.747635,35.605473",639841348,R,37,183,53109,1062,2204 NORTH MAIN STREET, FUQUAY-VARINA, NC,27526
256,Match,Exact,"6941 HILBURN DR, RALEIGH, NC, 27613","-78.71616,35.87332",72604989,L,37,183,53725,1024,6941 HILBURN DR, RALEIGH, NC,27613
136,Match,Exact,"4104 SAINT JAMES CHURCH RD, RALEIGH, NC, 27604","-78.57225,35.83717",72619365,L,37,183,52707,1009,4104 SAINT JAMES CHURCH RD, RALEIGH, NC,27604
257,Match,Exact,"8521 FALLS OF NEUSE RD, RALEIGH, NC, 27615","-78.61496,35.895702",208366199,L,37,183,53808,4019,8521 FALLS OF NEUSE ROAD, RALEIGH, NC,27615
137,Match,Exact,"4030 CAPITAL BLVD, RALEIGH, NC, 27604","-78.58198,35.83561",638239226,R,37,183,52707,1002,4030-100 CAPITAL BLVD, RALEIGH, NC,27604
258,Match,Non_Exact,"2511 STATE HWY 55, CARY, NC, 27519","-78.87178,35.78175",614348195,L,37,183,53412,3002,2511 NC HIGHWAY 55, CARY, NC,27519
138,Match,Exact,"722 SHELLEY RD, RALEIGH, NC, 27609","-78.6476,35.851192",72496639,R,37,183,53716,2005,722 SHELLEY ROAD, RALEIGH, NC,27609
139,Match,Exact,"6119 CREEDMOOR RD, RALEIGH, NC, 27612","-78.6802,35.868526",647278527,L,37,183,53714,2005,6119 CREEDMOOR RD, RALEIGH, NC,27612
30,Match,Exact,"10225 CHAMBERS RD, RALEIGH, NC, 27603","-78.70956,35.63389",72607609,R,37,183,53110,2005,10225 CHAMBERS RD, RALEIGH, NC,27603
31,Match,Exact,"1930 MILBURNIE RD, RALEIGH, NC, 27610","-78.6156,35.787334",640234916,R,37,183,50600,1004,1930 MILBURNIE RD, RALEIGH, NC,27610
32,Match,Exact,"3925 BARWELL RD, RALEIGH, NC, 27610","-78.555176,35.732445",612816335,R,37,183,52806,4023,3925 BARWELL RD, RALEIGH, NC,27610
