Tract Code,Tract Income Level,2015 MSA/MD Statewide non-MSA/MD Median Family Income,2019 FFIEC Est. MSA/MD non-MSA/MD Median Family Income,% Below Poverty Line,Tract Median Family Income %,2015 Tract Median Family Income,2019 Est. Tract Median Family Income,2015 Tract Median Household Income
541.11,Middle,"$78,057 ","$93,100 ",11,85.5,"$66,741 ","$79,601 ","$52,132 "
541.12,Moderate,"$78,057 ","$93,100 ",13.98,64.15,"$50,081 ","$59,724 ","$50,658 "
541.13,Middle,"$78,057 ","$93,100 ",7.46,80.91,"$63,162 ","$75,327 ","$49,596 "
541.14,Middle,"$78,057 ","$93,100 ",4.53,108.12,"$84,397 ","$100,660 ","$80,565 "
541.15,Middle,"$78,057 ","$93,100 ",5.14,97.81,"$76,351 ","$91,061 ","$62,537 "
542.03,Upper,"$78,057 ","$93,100 ",2.5,161.46,"$126,037 ","$150,319 ","$121,064 "
542.04,Middle,"$78,057 ","$93,100 ",15.69,81.67,"$63,750 ","$76,035 ","$55,682 "
542.05,Moderate,"$78,057 ","$93,100 ",19,77.93,"$60,833 ","$72,553 ","$45,840 "
542.06,Middle,"$78,057 ","$93,100 ",11.14,93.41,"$72,917 ","$86,965 ","$62,131 "
542.07,Upper,"$78,057 ","$93,100 ",3.82,166.37,"$129,864 ","$154,890 ","$103,750 "
542.08,Middle,"$78,057 ","$93,100 ",5.67,106.84,"$83,398 ","$99,468 ","$69,668 "
542.09,Upper,"$78,057 ","$93,100 ",1.34,144.56,"$112,847 ","$134,585 ","$91,343 "
542.1,Middle,"$78,057 ","$93,100 ",5,93.34,"$72,863 ","$86,900 ","$73,278 "
542.11,Middle,"$78,057 ","$93,100 ",6.51,118.19,"$92,262 ","$110,035 ","$89,680 "
543.01,Middle,"$78,057 ","$93,100 ",16.31,84.57,"$66,019 ","$78,735 ","$58,050 "
543.02,Moderate,"$78,057 ","$93,100 ",16.66,75.16,"$58,669 ","$69,974 ","$51,799 "
544.02,Middle,"$78,057 ","$93,100 ",20.38,93.01,"$72,608 ","$86,592 ","$52,588 "
544.03,Moderate,"$78,057 ","$93,100 ",21.2,77.27,"$60,317 ","$71,938 ","$56,209 "
544.04,Moderate,"$78,057 ","$93,100 ",7.67,68.49,"$53,464 ","$63,764 ","$47,587 "
545,Low,"$78,057 ","$93,100 ",28,48,"$37,471 ","$44,688 ","$35,997 "
9801,Unknown,"$78,057 ","$93,100 ",0,0,$0 ,$0 ,$0 
9802,Unknown,"$78,057 ","$93,100 ",0,0,$0 ,$0 ,$0 
